X1	A_1_1	A_1_10	A_1_11	A_1_12	A_1_13	A_1_14	A_1_15	A_1_16	A_1_17	A_1_18	A_1_19	A_1_2	A_1_20	A_1_21	A_1_22	A_1_23	A_1_24	A_1_25	A_1_26	A_1_27	A_1_28	A_1_29	A_1_3	A_1_30	A_1_31	A_1_32	A_1_33	A_1_34	A_1_35	A_1_36	A_1_37	A_1_38	A_1_39	A_1_4	A_1_40	A_1_41	A_1_42	A_1_43	A_1_44	A_1_45	A_1_46	A_1_47	A_1_48	A_1_49	A_1_5	A_1_6	A_1_7	A_1_8	A_1_9
sp|Q86VR2|RETR3_HUMAN	327203.03	636851.72	461796.03	335507.63	299204.21	332672.07	326343.53	189108.99	361855.76	320725.81	554027.78	174601.42	186883.08	272924.02	249746.26	168926.92	457196.83	476063.9	476686.2	465068.4	394270.63	505399.83	479348.44	341265.88	580729.5	570293.37	676419.34	567306.1	581648.17	461339.44	535372.28	600233.81	496047.49	424090.34	394954.2	386261.62	386820.88	540964.56	654022.63	369342.21	611419.18	757175.49	653059.52	442424.82	301900.34	344319.68	740614.92	469158.93	366655.37
sp|Q86VS8|HOOK3_HUMAN	687141.2	917340.2	686141.5	906938.2	720762.2	946007.1	575205.2	927257.7	654183.1	991700.6	612778.6	741480.4	379353.94	692938.9	584145.5	537413.5	746392.1	980878.4	1171872.6	780878.1	659821.7	665406.1	1160633	496123.6	1260739.6	874955	799676.7	705643.37	795081.1	364126.4	704984.8	1390650.7	947608.5	1126390.7	693601.2	732852.1	1048182.3	1073415.4	853999.9	908351.8	699775.6	732513.5	796351.3	935123	786197.5	1365192.9	735686.4	920285.3	661147.9
sp|Q86VX2|COMD7_HUMAN	44644.065	57554.96	121053.21	99373.88	92522.94	159969.1	187613.96	80263.14	224213.87	106009.96	87940.87	56034	71830.05	61911.99	62955.08	43925.034	36271.035	227526.1	121161.22	136558.78	58167.117	161657.83	120834.98	44026.93	78310.04	112388.03	167654.12	69543.89	133851.04	32784.998	73039.95	160200.81	190713.75	156593.96	93251.99	105509.03	79831.88	127971.93	132571.86	61027.11	188633.09	153667.99	194375.91	172297.08	34166.003	81820.97	66987.94	91897.93	85392
sp|Q86VZ1|P2RY8_HUMAN	2952.989	11777.04	27438.941	14744.929	29173.985	29743.909	2492.007	9441.974	21220.968	30709.965	16099.98	NA	8559.011	18932.964	8957.001	6741.954	6407.987	11665.989	16259.973	29826.902	15080.987	20183.925	18735.034	18868.04	15782.958	15446.965	27373.992	6333.998	24843.93	16723.998	15530.943	12357.984	31138.903	28930.015	8152.982	13960.975	15776.997	22837.993	9599.014	8307.013	14238.018	26555.901	31184.974	12029.004	10546.01	10178	21487.994	10306.983	857.0004
sp|Q86W34|AMZ2_HUMAN	22027.982	30311.039	40732.01	24383.969	16147.992	64065	18431.962	17416.96	28805.917	33458.98	17645.026	10659.952	7778.0023	19404.968	3870.971	7348.02	13193.907	37113	34002.004	45776	15265.023	46972.06	43138.931	5640.986	40683.92	36943.91	28437.013	15929.943	39737.03	3456.0094	27021.946	35041.994	36389.078	51306.07	30721.012	32970.84	17967.028	30819.049	32980.976	22329.999	27538.032	45764.02	33880.99	32783.97	14323.944	27180.994	21739.879	37356.977	31576.97
sp|Q86W42|THOC6_HUMAN	52645.01	103198.999	27097.997	31001.046	64400.968	97822.91	11839.007	38589.092	42606.105	48827.02	29092.859	26029.003	4289.007	NA	27562.014	4121.015	12214.01	57267.01	96583.08	95999.97	12060.025	66311	112542.99	10369.962	83847.87	42977.986	104746.02	44328.017	58934.07	21319.977	20610.979	104796.03	48015.08	43585.066	25218.985	50594.96	14638.983	56385.04	29927.943	16631.983	93826.82	57684.965	39876.03	86839.03	15833.996	45612.118	49818.959	78622.88	26386.96
sp|Q86W50|MET16_HUMAN	3744.006	15421.99	6815.004	7067	3039.986	5113.997	9838.058	5463.999	7319.003	8922.018	578.9985	5530.012	NA	4460.9739	3475.994	543.9988	3436.013	8193.987	8868.019	12713.059	6360.018	12413.998	7024.037	6127.018	7714.996	4699.01	9282.994	8545.008	8083.981	5685.99	NA	8660.933	14066.015	14601.0193	6066.966	14395.054	3786.995	7202.995	4653.002	4065.977	14135.006	5388.9977	1335.999	5656.026	5996.967	7991.978	7174.98	6370.998	6025.017
sp|Q86W56|PARG_HUMAN	93837.92	203721.23	64031.01	89186.98	96118.02	77365.06	67829.95	92481.96	94711.8	140833.77	97244.07	55700.07	47676.091	89375.86	27741.973	37914.025	36745.977	154587.76	163368.17	152309.05	60921.06	162707.04	185088.9	41420.034	180871.2	44584.09	113683.98	86148.96	116141.98	42065.937	55752.017	162781.67	139312.14	132964.08	88660.2	109981	40210.044	161695.85	93840.23	72094.83	167315.77	103091.92	157843.23	114243.07	56167.94	125177.13	128406.86	140285.94	69436.02
sp|Q86WA6|BPHL_HUMAN	NA	14635.015	19535.99	26148.091	9461.979	9367.976	2387.99	8365.003	NA	23434.01	21212.9575	6805.005	758.9974	5107.985	7591.9969	10144.0544	16104.025	18486.012	17415.093	16994.958	8809.9961	6631.963	23493.051	14600.924	26898.959	14717.011	10619.009	15956.067	12786.989	448.996	10795.968	14860.047	16912.9882	13082.008	6140.985	13804.073	7410.014	23371.013	20116.057	10184.0415	13662.028	15578.989	19348.0176	19560.95	9915.052	17104.964	18201.026	17477.014	5862.019
sp|Q86WB0|NIPA_HUMAN	1762.0109	20958.9527	8406.004	4788.001	5239.004	NA	2181.018	NA	6465.003	NA	NA	3846.992	NA	NA	NA	557.9962	2179.021	11045.028	6759.962	19315.018	NA	9436.9858	9380.976	NA	29678.071	8517.991	7591.972	NA	20760.978	NA	NA	7520.017	9205.009	6775.026	NA	6669.007	6299.015	22880.004	5131.991	NA	20271.989	6674.985	17203.9542	15347.0805	NA	5757.021	NA	3758.009	NA
sp|Q86WH2|RASF3_HUMAN	27578.09	30833.95	19324.957	23176.129	23086.041	24781.13	23980.12	12171.01	16924.008	24041.996	16525.031	11055.026	3209.985	10040.987	2705.996	6611.956	14040.972	34665.03	33603.9	23593.99	16574.036	28533.01	26498.97	7163.012	32532.05	12196.05	20798.05	18018.04	25541.88	3421.986	16379.019	30701.93	29257.99	26031.072	19630.01	28043	19620.004	23233.97	16608.004	16236.003	22930.037	24043.988	27125	24885.99	6961	28704.075	19420.048	25567.935	13822.026
sp|Q86WJ1|CHD1L_HUMAN	137000.97	244587.41	130101.16	163910.97	170813.97	157802.79	115602.79	113020.026	121243.86	180601.6	121379.17	88146.06	58797.998	112000.9	82575.001	56333.042	88680.97	132732.91	232408.38	170531.27	99265.976	168099.09	205873.46	103638.898	212632.02	189878.92	176727.44	127181.11	161341.07	95368.97	92271.11	195136.04	159564.99	159831.56	110857.98	147422.04	87261.033	190348.16	113290.22	102376.96	181044.02	135364	161986.28	154164.06	87439.27	168961.83	150504.79	171420.91	105081.14
sp|Q86WN1|FCSD1_HUMAN	89684.97	161916.1	158289.9	111348.09	138143.7	158201.93	86807.1	113431.03	129189.06	135364.08	71198.035	67206.06	55806.96	88247.953	58661.978	51321.037	62124	173809.03	136300.03	128609.07	114654.96	115681.98	171457.13	120171.91	218311.17	207922.94	156327.1	134151.081	213642.23	84259.01	128172.13	135555.01	128964.19	107272.221	147184.02	136147.06	101583.1	123086	118066.01	110095.18	125036.98	120275.84	142923.77	117417.94	101232.03	115941.95	111820.97	114105.08	116045.9
sp|Q86WP2|GPBP1_HUMAN	45338.97	46670.041	29893.01	48022.85	46319.16	42453.04	26395.97	47073.877	31678.03	41223.9	20602.952	26727.046	17463.049	33594.955	14202.019	22790	28500.028	46058.09	51975.03	40872.03	18306.052	45961.068	55927.04	9281.038	46484.92	29946.01	20559.086	34951.94	45733.04	12575.963	27253.979	48473.97	42825.97	58665.96	37025.018	47930.99	21604.989	47670.1	32067.113	34661.034	29624.052	29251.039	44062.99	36032.999	28058.962	51008.94	34967	53343.98	25478.94
sp|Q86WQ0|NR2CA_HUMAN	23069.93	55658.09	24743.993	13510.99	17479.982	20478.041	24477.985	16952.997	14536.01	24359.983	11214.0004	10132.974	4979.9952	13498.016	8894.017	9396.983	9576.014	43484.046	39713.014	48820.141	13508.99	40375.109	20728.087	16303.9989	63642.78	26847.05	36366.991	29821.937	34623.001	11515.9676	12415.97	37158.925	40341.06	29169.971	29064.991	32356.051	16535.965	29081.073	23960.006	17704.05	39084.053	35681.918	43542.048	47786.056	19550.002	28833.157	27756.904	22793.016	19908.031
sp|Q86WR0|CCD25_HUMAN	NA	61833.95	47942.86	NA	NA	26435.03	34178.05	NA	35337	NA	20547.94	NA	10017.99	22050.02	18549.93	9463.05	9917.04	44117.93	48011	40980.88	NA	NA	NA	35077.05	NA	71927	NA	28289	35618.09	32783.94	NA	NA	52572.89	51348.09	NA	46704.94	32272.03	55772.03	NA	NA	63548.04	48443.93	62544.99	NA	24212.95	NA	47526.21	54493.95	NA
sp|Q86WV6|STING_HUMAN	584496.7	809500.9	395312.12	575288.2	424031.46	484165.2	316642.66	414937.25	571517.2	574158.5	510343.3	190724.88	290712.11	506580.19	110303.94	200558.91	197164	1042555.3	955588.5	751244.4	262289.31	735660	855258.3	221207.15	799193	489073.48	755799.7	465768.63	563575.7	474110.4	335454.98	825931.1	685318.9	765072.5	410620.05	524672.4	343557.86	708984.7	448106.19	331454.12	792445.3	750255.9	708210.9	746726.9	190359.25	542553.9	521540.5	613954.1	377256.86
sp|Q86WW8|COA5_HUMAN	NA	53055.925	174001	178420.024	208546.937	222040.926	217210.089	5938.003	142935.471	184117.005	114106.929	4571.992	93884.084	101595.544	94900.0035	91376.3	112173.261	272039.1	213012.837	203638.3028	127383.565	151730.7	169402.501	109118.72	207408.266	195150.1	218833.7822	NA	169901.685	47223.08	104129.15	178221.026	222533.006	160212.32	140079.094	114719.17	120416.256	174429.108	190873.1	107865.83	157476.24	192159.991	200582.093	216899.108	142296.69	NA	156380.232	205617.784	131758.39
